Feature,Correlation_with_RUL,Abs_Correlation
Sensor_3_rolling_mean_5,-0.7107550746942768,0.7107550746942768
Sensor_12_rolling_mean_10,0.7103056277077664,0.7103056277077664
Sensor_15_rolling_mean_3,-0.7098012575489512,0.7098012575489512
Sensor_21_rolling_mean_3,0.7088587071779803,0.7088587071779803
Sensor_12_rolling_mean_3,0.7080599072845465,0.7080599072845465
Sensor_7_rolling_mean_3,0.7044966300500874,0.7044966300500874
Sensor_20_rolling_mean_3,0.7021122696905188,0.7021122696905188
Sensor_11,-0.696228101455419,0.696228101455419
Sensor_17_rolling_mean_3,-0.6951822672906918,0.6951822672906918
Sensor_2_rolling_mean_3,-0.6921725569110397,0.6921725569110397
Sensor_11_lag_1,-0.691652946496465,0.691652946496465
Sensor_11_lag_2,-0.6869043564898829,0.6869043564898829
Sensor_3_rolling_mean_3,-0.68588592726571,0.68588592726571
Sensor_11_lag_3,-0.6821064313588235,0.6821064313588235
Sensor_4,-0.6789482333860452,0.6789482333860452
Sensor_4_lag_1,-0.6742383334303937,0.6742383334303937
Sensor_11_lag_5,-0.6721205562299112,0.6721205562299112
Sensor_12,0.6719831036132898,0.6719831036132898
Sensor_4_lag_2,-0.6693885592241698,0.6693885592241698
Sensor_12_lag_1,0.6670717290358193,0.6670717290358193
Sensor_4_lag_3,-0.6644373001739348,0.6644373001739348
Sensor_12_lag_2,0.6621871355586059,0.6621871355586059
Sensor_7,0.6572226620548834,0.6572226620548834
Sensor_12_lag_3,0.657109199971317,0.657109199971317
Sensor_4_lag_5,-0.6544547366190845,0.6544547366190845
Sensor_7_lag_1,0.652231374276001,0.652231374276001
Sensor_7_lag_2,0.6471198819253763,0.6471198819253763
Sensor_12_lag_5,0.6467646915698223,0.6467646915698223
Sensor_15,-0.6426670441973751,0.6426670441973751
Sensor_7_lag_3,0.6419996051361293,0.6419996051361293
Sensor_15_lag_1,-0.6368062945325103,0.6368062945325103
Sensor_21,0.6356620421802921,0.6356620421802921
Sensor_7_lag_5,0.6316578548669106,0.6316578548669106
Sensor_15_lag_2,-0.6307898152968463,0.6307898152968463
Sensor_21_lag_1,0.6304733358671043,0.6304733358671043
Sensor_20,0.6294284994377345,0.6294284994377345
Sensor_21_lag_2,0.625147544605876,0.625147544605876
Sensor_15_lag_3,-0.6247503602003249,0.6247503602003249
Sensor_20_lag_1,0.6234604753219276,0.6234604753219276
Sensor_21_lag_3,0.6198142115302465,0.6198142115302465
Sensor_20_lag_2,0.617678388951773,0.617678388951773
Sensor_15_lag_5,-0.612568832075575,0.612568832075575
Sensor_20_lag_3,0.6117260322867266,0.6117260322867266
Sensor_21_lag_5,0.6089940489300583,0.6089940489300583
Sensor_2,-0.606483974378338,0.606483974378338
Sensor_17,-0.6061535537829664,0.6061535537829664
Sensor_17_lag_1,-0.6007610314097683,0.6007610314097683
Sensor_2_lag_1,-0.6006759848241513,0.6006759848241513
Sensor_20_lag_5,0.5995513967133552,0.5995513967133552
Sensor_8_rolling_mean_5,-0.5994563703928266,0.5994563703928266
Sensor_13_rolling_mean_5,-0.5978583240822988,0.5978583240822988
Sensor_8_rolling_mean_3,-0.5963749490281615,0.5963749490281615
Sensor_17_lag_2,-0.5956152368186005,0.5956152368186005
Sensor_2_lag_2,-0.5947745871492301,0.5947745871492301
Sensor_13_rolling_mean_3,-0.5945606212674376,0.5945606212674376
Sensor_8_rolling_mean_10,-0.5928765211063229,0.5928765211063229
Sensor_13_rolling_mean_10,-0.5914967746071459,0.5914967746071459
Sensor_17_lag_3,-0.5902497351083273,0.5902497351083273
Sensor_2_lag_3,-0.5887511510757455,0.5887511510757455
Sensor_3,-0.5845203909175872,0.5845203909175872
Sensor_17_lag_5,-0.5793908214411095,0.5793908214411095
Sensor_3_lag_1,-0.5791341284593643,0.5791341284593643
Sensor_2_lag_5,-0.5768903885308521,0.5768903885308521
Sensor_3_lag_2,-0.5736533067760407,0.5736533067760407
Sensor_3_lag_3,-0.5678969984851951,0.5678969984851951
Sensor_8,-0.5639684065771841,0.5639684065771841
Sensor_13,-0.5625688251495555,0.5625688251495555
Sensor_8_lag_1,-0.5584857213700369,0.5584857213700369
Sensor_13_lag_1,-0.5571895051786064,0.5571895051786064
Sensor_3_lag_5,-0.5558840672672916,0.5558840672672916
Sensor_8_lag_2,-0.5523679181351715,0.5523679181351715
Sensor_13_lag_2,-0.551614336253459,0.551614336253459
Sensor_8_lag_3,-0.5464275853049583,0.5464275853049583
Sensor_13_lag_3,-0.5457534897769383,0.5457534897769383
Sensor_8_lag_5,-0.5346054308284417,0.5346054308284417
Sensor_13_lag_5,-0.5344455883194987,0.5344455883194987
Sensor_9_rolling_mean_5,-0.3944481336243727,0.3944481336243727
Sensor_9_rolling_mean_3,-0.39425477089638145,0.39425477089638145
Sensor_9_rolling_mean_10,-0.3930392206975695,0.3930392206975695
Sensor_9,-0.3901015749180708,0.3901015749180708
Sensor_9_lag_1,-0.3896377262156734,0.3896377262156734
Sensor_9_lag_2,-0.38852447316243716,0.38852447316243716
Sensor_9_lag_3,-0.3875101613660098,0.3875101613660098
Sensor_9_lag_5,-0.38519410786446234,0.38519410786446234
Sensor_6_rolling_std_10,0.31489997022725247,0.31489997022725247
Sensor_14_rolling_mean_3,-0.30867368813801,0.30867368813801
Sensor_14_rolling_mean_5,-0.30812106762766667,0.30812106762766667
Sensor_14,-0.3067688702575845,0.3067688702575845
Sensor_14_lag_1,-0.3058138884153547,0.3058138884153547
Sensor_14_rolling_mean_10,-0.3053858225627925,0.3053858225627925
Sensor_14_lag_2,-0.304614649790079,0.304614649790079
Sensor_14_lag_3,-0.30313604733155824,0.30313604733155824
Sensor_6_rolling_mean_10,-0.30114149945162677,0.30114149945162677
Sensor_14_lag_5,-0.30013851526292495,0.30013851526292495
Sensor_6_rolling_std_5,0.25423255280743196,0.25423255280743196
Sensor_14_rolling_std_10,-0.2506019855697146,0.2506019855697146
Sensor_6_rolling_mean_5,-0.24951184896745804,0.24951184896745804
Sensor_9_rolling_std_10,-0.22819761873643715,0.22819761873643715
Sensor_6_rolling_std_3,0.2075496896014988,0.2075496896014988
Sensor_6_rolling_mean_3,-0.20725015950777917,0.20725015950777917
Sensor_6_cumulative_delta,-0.16284347691943143,0.16284347691943143
Sensor_6_lag_5,-0.13192866845125595,0.13192866845125595
Sensor_6_lag_3,-0.13058182759462328,0.13058182759462328
Sensor_6_lag_2,-0.129866278689316,0.129866278689316
